split,mutation_category,method,case_count,contract_effect_recall,forbidden_trace_acceptance_rate,safe_utility,maximal_permissiveness_ratio
development,implementation_drift,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
development,implementation_drift,AuthSynth-NoCEGAR,6,0.8333333333333334,0.3333333333333333,1.0,1.0
development,implementation_drift,DenyAll,6,0.0,0.0,0.0,0.0
development,implementation_drift,Gold-Contract,6,1.0,0.0,1.0,1.0
development,implementation_drift,Solver-Policy,6,0.5,1.0,1.0,1.0
development,implementation_drift,ToolGate-Declared,6,0.5,1.0,1.0,1.0
development,implementation_drift,ToolGuardian-Style,6,0.8333333333333334,0.3333333333333333,1.0,1.0
development,parameter_role_omission,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
development,parameter_role_omission,AuthSynth-NoCEGAR,6,0.6666666666666666,0.6666666666666666,1.0,1.0
development,parameter_role_omission,DenyAll,6,0.0,0.0,0.0,0.0
development,parameter_role_omission,Gold-Contract,6,1.0,0.0,1.0,1.0
development,parameter_role_omission,Solver-Policy,6,0.5,1.0,1.0,1.0
development,parameter_role_omission,ToolGate-Declared,6,0.5,1.0,1.0,1.0
development,parameter_role_omission,ToolGuardian-Style,6,0.6666666666666666,0.6666666666666666,1.0,1.0
development,state_dependent_effect,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
development,state_dependent_effect,AuthSynth-NoCEGAR,6,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.8333333333333334
development,state_dependent_effect,DenyAll,6,0.0,0.0,0.0,0.0
development,state_dependent_effect,Gold-Contract,6,1.0,0.0,1.0,1.0
development,state_dependent_effect,Solver-Policy,6,0.6666666666666666,1.0,1.0,1.0
development,state_dependent_effect,ToolGate-Declared,6,0.6666666666666666,1.0,1.0,1.0
development,state_dependent_effect,ToolGuardian-Style,6,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
locked_test,composition_omission,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
locked_test,composition_omission,AuthSynth-NoCEGAR,6,1.0,0.0,1.0,1.0
locked_test,composition_omission,DenyAll,6,0.0,0.0,0.0,0.0
locked_test,composition_omission,Gold-Contract,6,1.0,0.0,1.0,1.0
locked_test,composition_omission,Solver-Policy,6,1.0,1.0,1.0,1.0
locked_test,composition_omission,ToolGate-Declared,6,1.0,1.0,1.0,1.0
locked_test,composition_omission,ToolGuardian-Style,6,1.0,1.0,1.0,1.0
locked_test,delayed_effect,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
locked_test,delayed_effect,AuthSynth-NoCEGAR,6,0.6666666666666666,1.0,1.0,1.0
locked_test,delayed_effect,DenyAll,6,0.0,0.0,0.0,0.0
locked_test,delayed_effect,Gold-Contract,6,1.0,0.0,1.0,1.0
locked_test,delayed_effect,Solver-Policy,6,0.6666666666666666,1.0,1.0,1.0
locked_test,delayed_effect,ToolGate-Declared,6,0.6666666666666666,1.0,1.0,1.0
locked_test,delayed_effect,ToolGuardian-Style,6,0.6666666666666666,1.0,1.0,1.0
locked_test,hidden_effect,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
locked_test,hidden_effect,AuthSynth-NoCEGAR,6,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666
locked_test,hidden_effect,DenyAll,6,0.0,0.0,0.0,0.0
locked_test,hidden_effect,Gold-Contract,6,1.0,0.0,1.0,1.0
locked_test,hidden_effect,Solver-Policy,6,0.5,1.0,1.0,1.0
locked_test,hidden_effect,ToolGate-Declared,6,0.5,1.0,1.0,1.0
locked_test,hidden_effect,ToolGuardian-Style,6,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.6666666666666666
locked_test,implementation_drift,AuthSynth-CGAR,6,1.0,0.0,1.0,1.0
