ast_node_count,case_id,certificate_bytes,clause_count,literal_count,method,serialized_bytes,split
0,f2c-train-0012,0,0,0,Random Replay Table,0,train
0,f2c-train-0013,0,0,0,Random Replay Table,0,train
0,f2c-train-0014,0,0,0,Random Replay Table,0,train
0,f2c-train-0015,0,0,0,Random Replay Table,0,train
0,f2c-train-0016,0,0,0,Random Replay Table,0,train
0,f2c-train-0017,0,0,0,Random Replay Table,0,train
0,f2c-train-0018,0,0,0,Random Replay Table,0,train
0,f2c-train-0019,0,0,0,Random Replay Table,0,train
0,f2c-train-0020,0,0,0,Random Replay Table,0,train
0,f2c-train-0021,0,0,0,Random Replay Table,0,train
0,f2c-train-0022,0,0,0,Random Replay Table,0,train
0,f2c-train-0023,0,0,0,Random Replay Table,0,train
0,f2c-train-0024,0,0,0,Random Replay Table,0,train
0,f2c-train-0025,0,0,0,Random Replay Table,0,train
0,f2c-train-0026,0,0,0,Random Replay Table,0,train
0,f2c-train-0027,0,0,0,Random Replay Table,0,train
0,f2c-train-0028,0,0,0,Random Replay Table,0,train
0,f2c-train-0029,0,0,0,Random Replay Table,0,train
0,f2c-train-0030,0,0,0,Random Replay Table,0,train
0,f2c-train-0031,0,0,0,Random Replay Table,0,train
0,f2c-train-0032,0,0,0,Random Replay Table,0,train
0,f2c-train-0033,0,0,0,Random Replay Table,0,train
0,f2c-train-0034,0,0,0,Random Replay Table,0,train
0,f2c-train-0035,0,0,0,Random Replay Table,0,train
0,f2c-train-0036,0,0,0,Random Replay Table,0,train
0,f2c-train-0037,0,0,0,Random Replay Table,0,train
0,f2c-train-0038,0,0,0,Random Replay Table,0,train
0,f2c-train-0039,0,0,0,Random Replay Table,0,train
0,f2c-train-0040,0,0,0,Random Replay Table,0,train
0,f2c-train-0001,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0002,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0003,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0004,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0005,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0006,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0007,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0008,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0009,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0010,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0011,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0012,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0013,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0014,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0015,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0016,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0017,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0018,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0019,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0020,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0021,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0022,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0023,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0024,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0025,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0026,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0027,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0028,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0029,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0030,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0031,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0032,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0033,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0034,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0035,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0036,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0037,0,0,0,Coverage-Guided Replay Table,0,train
0,f2c-train-0038,0,0,0,Coverage-Guided Replay Table,0,train
